AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS
26,18,6,12,0.333,3.6,0.7,1.9,0.343,0.1,0.4,0.125,1.2,1.4,0.84,0.2,0.2,0.4,0.4,0.2,0.1,0.1,0.1,0.3,0.7,2.6,-2.2,4
27,27,9,18,0.333,3.5,0.4,0.9,0.44,0.2,0.6,0.313,0.5,0.6,0.875,0,0.2,0.2,0.1,0.1,0.1,0,0.1,0.3,0.4,1.5,-1,2.2
29,17,9,8,0.529,4.3,0.2,1,0.235,0,0.4,0,0.4,0.7,0.583,0.3,0.5,0.8,0.2,0.2,0.1,0.1,0.1,0.8,0.6,0.9,1.4,2.4
23,41,19,22,0.463,4.2,0.7,1.6,0.409,0.3,0.9,0.378,0.2,0.2,0.889,0,0.3,0.3,0.3,0.2,0,0,0.2,0.6,0.2,1.9,-0.2,2.7
27,37,20,17,0.541,2.6,0.4,1,0.444,0,0.1,0,0.2,0.3,0.75,0.1,0.4,0.5,0.2,0.1,0.1,0.1,0.1,0.2,0.3,1.1,1.2,2.4
26,6,6,0,1,3.1,0.3,0.7,0.5,0,0,0,0,0,0,0.7,0.3,1,0,0.2,0,0,0.2,0.5,0,0.7,1.3,1.7
23,12,8,4,0.667,3,0.1,0.8,0.1,0.1,0.4,0.2,0.2,0.3,0.5,0.3,0.4,0.8,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.4,3.5,2
30,22,11,11,0.5,2.2,0.1,0.5,0.25,0,0.3,0,0.3,0.4,0.875,0,0.3,0.3,0.1,0.1,0.1,0,0,0.4,0.3,0.6,0.4,1.6
21,44,20,24,0.455,3.5,0.2,0.8,0.303,0,0.4,0.056,0.2,0.2,1,0,0.1,0.2,0,0.1,0.1,0,0,0.4,0.1,0.7,-1,1.2
31,11,6,5,0.545,1.9,0.4,1,0.364,0.2,0.5,0.333,0.3,0.3,1,0,0.4,0.4,0,0,0,0,0,0.2,0.1,1.2,-0.6,1.6
30,46,26,20,0.565,3.9,0.2,0.7,0.333,0.1,0.3,0.4,0.1,0.2,0.6,0.1,0.3,0.3,0.1,0.1,0.1,0,0.1,0.3,0.3,0.7,-0.2,1.7
30,21,14,7,0.667,2.6,0.2,0.5,0.364,0.1,0.3,0.333,0.5,0.7,0.786,0,0.2,0.2,0.1,0,0.1,0.1,0,0.1,0.3,1,1.9,2.2
28,11,7,4,0.636,2.6,0.3,0.6,0.429,0,0,0,0.1,0.2,0.5,0.1,0.3,0.4,0,0.1,0.1,0.1,0,0.4,0.1,0.6,1.5,1.5
21,38,19,19,0.5,3.5,0.3,0.8,0.419,0,0.1,0.333,0.7,0.9,0.765,0.1,0.8,0.9,0.3,0.2,0,0.3,0.1,0.5,0.6,1.4,-0.4,3.7
22,6,5,1,0.833,1.1,0.3,0.5,0.667,0.2,0.2,1,0.2,0.3,0.5,0.2,0.2,0.3,0,0,0,0,0.2,0.2,0.2,1,1.8,1.4
30,35,19,16,0.543,3.8,0.3,0.6,0.455,0.1,0.2,0.429,0.4,0.5,0.833,0.1,0.3,0.3,0.5,0.1,0.1,0,0.1,0.2,0.3,1.1,1.2,2.3
26,42,14,28,0.333,4.8,0.8,1.9,0.43,0.1,0.4,0.222,1,1.2,0.8,0.3,0.4,0.7,0.4,0.5,0.1,0,0.1,0.5,0.7,2.7,-2.2,4.1
26,31,11,20,0.355,2.8,0.4,0.7,0.591,0,0.1,0.333,0.6,0.6,0.9,0.3,0.6,0.9,0.2,0.1,0,0.1,0.1,0.4,0.5,1.5,-0.9,3
26,31,15,16,0.484,3.7,0.8,1.2,0.694,0,0,0,0.3,0.5,0.471,0.5,0.6,1.1,0.3,0.3,0,0.1,0.1,0.3,0.4,1.9,-0.4,3.6
29,6,4,2,0.667,2.2,0.2,0.7,0.25,0.2,0.7,0.25,0,0,0,0,0.2,0.2,0.7,0,0,0,0,0.2,0,0.5,2.2,1.7
